id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,method,umpire1,umpire2,is_playoff,is_eliminator,is_qualifier,is_final,home_of
829801,Raipur,2015-05-12,Zaheer Khan,Shaheed Veer Narayan Singh International Stadium,0,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,Delhi Capitals,wickets,6.0,,Richard Illingworth,Vineet Kulkarni,0,0,0,0,Delhi Capitals
829803,Chandigarh,2015-05-13,Axar Patel,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,runs,22.0,,Johan Cloete,Chettithody Shamshuddin,0,0,0,0,Kings XI Punjab
829805,Mumbai,2015-05-14,Hardik Pandya,Wankhede Stadium,0,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,5.0,,Richard Illingworth,Vineet Kulkarni,0,0,0,0,Mumbai Indians
829807,Hyderabad,2015-05-15,Virat Kohli,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,wickets,6.0,D/L,Anil Chaudhary,Kumar Dharmasena,0,0,0,0,Sunrisers Hyderabad
829809,Chandigarh,2015-05-16,Pawan Negi,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,wickets,7.0,,C. K. Nandan,Chettithody Shamshuddin,0,0,0,0,Kings XI Punjab
829811,Mumbai,2015-05-16,Shane Watson,Brabourne Stadium,0,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,runs,9.0,,Rajesh Deshpande,Richard Illingworth,0,0,0,0,Rajasthan Royals
829813,Bangalore,2015-05-17,,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,no result,no result,no result,,Kumar Dharmasena,Krishnamachari Srinivasan,0,0,0,0,Royal Challengers Bangalore
829815,Hyderabad,2015-05-17,Mitchell McClenaghan,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,wickets,9.0,,Chris Gaffaney,Krishnaraj Srinath,0,0,0,0,Sunrisers Hyderabad
829817,Mumbai,2015-05-19,Kieron Pollard,Wankhede Stadium,0,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,25.0,,Kumar Dharmasena,Richard Illingworth,1,0,1,0,Mumbai Indians
829819,Pune,2015-05-20,AB de Villiers,Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,71.0,,Anil Chaudhary,Chettithody Shamshuddin,1,1,0,0,
829821,Ranchi,2015-05-22,Ashish Nehra,JSCA International Stadium Complex,1,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,wickets,3.0,,Anil Chaudhary,Chris Gaffaney,1,0,1,0,
829823,Kolkata,2015-05-24,Rohit Sharma,Eden Gardens,1,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,runs,41.0,,Kumar Dharmasena,Richard Illingworth,1,0,0,1,
980901,Mumbai,2016-04-09,Ajinkya Rahane,Wankhede Stadium,0,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,Rising Pune Supergiant,wickets,9.0,,Kumar Dharmasena,C. K. Nandan,0,0,0,0,Mumbai Indians
980903,Kolkata,2016-04-10,Andre Russell,Eden Gardens,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,9.0,,Sundaram Ravi,Chettithody Shamshuddin,0,0,0,0,Kolkata Knight Riders
980905,Chandigarh,2016-04-11,Aaron Finch,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,5.0,,Anil Chaudhary,Vineet Kulkarni,0,0,0,0,Kings XI Punjab
980907,Bangalore,2016-04-12,AB de Villiers,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,45.0,,Kumar Dharmasena,Virender Sharma,0,0,0,0,Royal Challengers Bangalore
980909,Kolkata,2016-04-13,Rohit Sharma,Eden Gardens,0,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,6.0,,Nitin Menon,Sundaram Ravi,0,0,0,0,Kolkata Knight Riders
980911,Rajkot,2016-04-14,Aaron Finch,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,bat,Gujarat Lions,wickets,7.0,,Vineet Kulkarni,C. K. Nandan,0,0,0,0,Gujarat Lions
980913,Delhi,2016-04-15,Amit Mishra,Arun Jaitley Stadium,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,field,Delhi Capitals,wickets,8.0,,Sundaram Ravi,Chettithody Shamshuddin,0,0,0,0,Delhi Capitals
980915,Hyderabad,2016-04-16,Gautam Gambhir,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,8.0,,Anil Chaudhary,C. K. Nandan,0,0,0,0,Sunrisers Hyderabad
980917,Mumbai,2016-04-16,Aaron Finch,Wankhede Stadium,0,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,3.0,,Kumar Dharmasena,Virender Sharma,0,0,0,0,Mumbai Indians
980919,Chandigarh,2016-04-17,Manan Vohra,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,bat,Kings XI Punjab,wickets,6.0,,Sundaram Ravi,Chettithody Shamshuddin,0,0,0,0,Kings XI Punjab
980921,Bangalore,2016-04-17,Quinton de Kock,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7.0,,Vineet Kulkarni,Nand Kishore,0,0,0,0,Royal Challengers Bangalore
980923,Hyderabad,2016-04-18,David Warner,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,7.0,,Kumar Dharmasena,Virender Sharma,0,0,0,0,Sunrisers Hyderabad
