id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,method,umpire1,umpire2,is_playoff,is_eliminator,is_qualifier,is_final,home_of
1082595,Bangalore,2017-04-08,Kedar Jadhav,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,15.0,,Sundaram Ravi,Virender Sharma,0,0,0,0,Royal Challengers Bangalore
1082596,Hyderabad,2017-04-09,Rashid Khan,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9.0,,Abhijit Deshmukh,Nigel Llong,0,0,0,0,Sunrisers Hyderabad
1082597,Mumbai,2017-04-09,Nitish Rana,Wankhede Stadium,0,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,4.0,,Nitin Menon,C. K. Nandan,0,0,0,0,Mumbai Indians
1082598,Indore,2017-04-10,Axar Patel,Holkar Cricket Stadium,0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Kings XI Punjab,wickets,8.0,,Anil Chaudhary,Chettithody Shamshuddin,0,0,0,0,Kings XI Punjab
1082599,Pune,2017-04-11,Sanju Samson,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,field,Delhi Capitals,runs,97.0,,Anil Dandekar,Sundaram Ravi,0,0,0,0,Rising Pune Supergiant
1082600,Mumbai,2017-04-12,Jasprit Bumrah,Wankhede Stadium,0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Mumbai Indians,wickets,4.0,,Nitin Menon,C. K. Nandan,0,0,0,0,Mumbai Indians
1082601,Kolkata,2017-04-13,Sunil Narine,Eden Gardens,0,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8.0,,Abhijit Deshmukh,Nigel Llong,0,0,0,0,Kolkata Knight Riders
1082602,Bangalore,2017-04-14,Kieron Pollard,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,4.0,,K. N. Ananthapadmanabhan,Anil Chaudhary,0,0,0,0,Royal Challengers Bangalore
1082603,Rajkot,2017-04-14,Andrew Tye,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,field,Gujarat Lions,wickets,7.0,,Nand Kishore,Sundaram Ravi,0,0,0,0,Gujarat Lions
1082604,Kolkata,2017-04-15,Robin Uthappa,Eden Gardens,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,17.0,,Anil Dandekar,Nigel Llong,0,0,0,0,Kolkata Knight Riders
1082605,Delhi,2017-04-15,Corey Anderson,Arun Jaitley Stadium,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Delhi Capitals,runs,51.0,,Yeshwant Barde,Nitin Menon,0,0,0,0,Delhi Capitals
1082606,Mumbai,2017-04-16,Nitish Rana,Wankhede Stadium,0,Mumbai Indians,Gujarat Lions,Mumbai Indians,field,Mumbai Indians,wickets,6.0,,Nand Kishore,Sundaram Ravi,0,0,0,0,Mumbai Indians
1082607,Bangalore,2017-04-16,Ben Stokes,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,field,Rising Pune Supergiant,runs,27.0,,K. N. Ananthapadmanabhan,Chettithody Shamshuddin,0,0,0,0,Royal Challengers Bangalore
1082608,Delhi,2017-04-17,Nathan Coulter-Nile,Arun Jaitley Stadium,0,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,wickets,4.0,,Nitin Menon,C. K. Nandan,0,0,0,0,Delhi Capitals
1082609,Hyderabad,2017-04-17,Bhuvneshwar Kumar,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,runs,5.0,,Anil Dandekar,Abhijit Deshmukh,0,0,0,0,Sunrisers Hyderabad
1082610,Rajkot,2017-04-18,Chris Gayle,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Royal Challengers Bangalore,Gujarat Lions,field,Royal Challengers Bangalore,runs,21.0,,Sundaram Ravi,Virender Sharma,0,0,0,0,Gujarat Lions
1082611,Hyderabad,2017-04-19,Kane Williamson,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,15.0,,Chris Gaffaney,Nigel Llong,0,0,0,0,Sunrisers Hyderabad
1082612,Indore,2017-04-20,Jos Buttler,Holkar Cricket Stadium,0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8.0,,Marais Erasmus,Chettithody Shamshuddin,0,0,0,0,Kings XI Punjab
1082613,Kolkata,2017-04-21,Suresh Raina,Eden Gardens,0,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,4.0,,Chris Gaffaney,Nitin Menon,0,0,0,0,Kolkata Knight Riders
1082614,Mumbai,2017-04-22,Mitchell McClenaghan,Wankhede Stadium,0,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,14.0,,Nand Kishore,Sundaram Ravi,0,0,0,0,Mumbai Indians
1082615,Pune,2017-04-22,Mahendra Singh Dhoni,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,6.0,,Anil Dandekar,Abhijit Deshmukh,0,0,0,0,Rising Pune Supergiant
1082616,Rajkot,2017-04-23,Hashim Amla,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Kings XI Punjab,runs,26.0,,Anil Chaudhary,Marais Erasmus,0,0,0,0,Gujarat Lions
1082617,Kolkata,2017-04-23,Nathan Coulter-Nile,Eden Gardens,0,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,82.0,,Chris Gaffaney,C. K. Nandan,0,0,0,0,Kolkata Knight Riders
1082618,Mumbai,2017-04-24,Ben Stokes,Wankhede Stadium,0,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,runs,3.0,,Nand Kishore,Sundaram Ravi,0,0,0,0,Mumbai Indians
1082620,Pune,2017-04-26,Robin Uthappa,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,,Anil Dandekar,Nigel Llong,0,0,0,0,Rising Pune Supergiant
1082621,Bangalore,2017-04-27,Andrew Tye,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,7.0,,Anil Chaudhary,Chettithody Shamshuddin,0,0,0,0,Royal Challengers Bangalore
1082622,Kolkata,2017-04-28,Gautam Gambhir,Eden Gardens,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,,Nigel Llong,Sundaram Ravi,0,0,0,0,Kolkata Knight Riders
1082623,Chandigarh,2017-04-28,Rashid Khan,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Sunrisers Hyderabad,runs,26.0,,Nitin Menon,C. K. Nandan,0,0,0,0,Kings XI Punjab
1082624,Pune,2017-04-29,Lockie Ferguson,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,runs,61.0,,K. N. Ananthapadmanabhan,Marais Erasmus,0,0,0,0,Rising Pune Supergiant
1082625,Rajkot,2017-04-29,Krunal Pandya,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,Mumbai Indians,tie,,,Anil Chaudhary,Chris Gaffaney,0,0,0,0,Gujarat Lions
1082626,Chandigarh,2017-04-30,Sandeep Sharma,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,field,Kings XI Punjab,wickets,10.0,,Yeshwant Barde,C. K. Nandan,0,0,0,0,Kings XI Punjab
1082627,Hyderabad,2017-04-30,David Warner,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,runs,48.0,,Anil Dandekar,Sundaram Ravi,0,0,0,0,Sunrisers Hyderabad
1082628,Mumbai,2017-05-01,Rohit Sharma,Wankhede Stadium,0,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Mumbai Indians,wickets,5.0,,Anil Chaudhary,Chris Gaffaney,0,0,0,0,Mumbai Indians
1082629,Pune,2017-05-01,Ben Stokes,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,5.0,,Marais Erasmus,Chettithody Shamshuddin,0,0,0,0,Rising Pune Supergiant
1082630,Delhi,2017-05-02,Mohammed Shami,Arun Jaitley Stadium,0,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,wickets,6.0,,Yeshwant Barde,Nitin Menon,0,0,0,0,Delhi Capitals
1082631,Kolkata,2017-05-03,Rahul Tripathi,Eden Gardens,0,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,4.0,,K. N. Ananthapadmanabhan,Nand Kishore,0,0,0,0,Kolkata Knight Riders
1082632,Delhi,2017-05-04,Rishabh Pant,Arun Jaitley Stadium,0,Delhi Capitals,Gujarat Lions,Delhi Capitals,field,Delhi Capitals,wickets,7.0,,Marais Erasmus,Nitin Menon,0,0,0,0,Delhi Capitals
1082633,Bangalore,2017-05-05,Sandeep Sharma,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,Kings XI Punjab,runs,19.0,,Chris Gaffaney,Chettithody Shamshuddin,0,0,0,0,Royal Challengers Bangalore
1082634,Hyderabad,2017-05-06,Jaydev Unadkat,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,field,Rising Pune Supergiant,runs,12.0,,K. N. Ananthapadmanabhan,Anil Chaudhary,0,0,0,0,Sunrisers Hyderabad
1082635,Delhi,2017-05-06,Lendl Simmons,Arun Jaitley Stadium,0,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,runs,146.0,,Nitin Menon,C. K. Nandan,0,0,0,0,Delhi Capitals
1082636,Bangalore,2017-05-07,Sunil Narine,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,,Anil Dandekar,Chettithody Shamshuddin,0,0,0,0,Royal Challengers Bangalore
1082637,Chandigarh,2017-05-07,Dwayne Smith,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,6.0,,Nand Kishore,Virender Sharma,0,0,0,0,Kings XI Punjab
1082638,Hyderabad,2017-05-08,Shikhar Dhawan,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,Sunrisers Hyderabad,wickets,7.0,,K. N. Ananthapadmanabhan,Marais Erasmus,0,0,0,0,Sunrisers Hyderabad
1082639,Chandigarh,2017-05-09,Mohit Sharma,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,runs,14.0,,Nand Kishore,Sundaram Ravi,0,0,0,0,Kings XI Punjab
1082640,Kanpur,2017-05-10,Shreyas Iyer,Green Park Stadium,0,Gujarat Lions,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,2.0,,Yeshwant Barde,Anil Chaudhary,0,0,0,0,Gujarat Lions
1082641,Mumbai,2017-05-11,Wriddhiman Saha,Wankhede Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Kings XI Punjab,runs,7.0,,Abhijit Deshmukh,Nand Kishore,0,0,0,0,Mumbai Indians
1082642,Delhi,2017-05-12,Karun Nair,Arun Jaitley Stadium,0,Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,bat,Delhi Capitals,runs,7.0,,K. N. Ananthapadmanabhan,C. K. Nandan,0,0,0,0,Delhi Capitals
1082643,Kanpur,2017-05-13,Mohammed Siraj,Green Park Stadium,0,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8.0,,Anil Chaudhary,Nitin Menon,0,0,0,0,Gujarat Lions
1082644,Kolkata,2017-05-13,Ambati Rayudu,Eden Gardens,0,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,runs,9.0,,Nand Kishore,Sundaram Ravi,0,0,0,0,Kolkata Knight Riders
1082645,Pune,2017-05-14,Jaydev Unadkat,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,9.0,,Anil Dandekar,Abhijit Deshmukh,0,0,0,0,Rising Pune Supergiant
1082646,Delhi,2017-05-14,Harshal Patel,Arun Jaitley Stadium,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,10.0,,C. K. Nandan,Chettithody Shamshuddin,0,0,0,0,Delhi Capitals
1082647,Mumbai,2017-05-16,Washington Sundar,Wankhede Stadium,0,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,runs,20.0,,Sundaram Ravi,Chettithody Shamshuddin,1,0,1,0,Mumbai Indians
1082648,Bangalore,2017-05-17,Nathan Coulter-Nile,M.Chinnaswamy Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,D/L,Anil Chaudhary,Nitin Menon,1,1,0,0,
1082649,Bangalore,2017-05-19,Karn Sharma,M.Chinnaswamy Stadium,1,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,6.0,,Nigel Llong,Nitin Menon,1,0,1,0,
1082650,Hyderabad,2017-05-21,Krunal Pandya,Rajiv Gandhi International Stadium,1,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,Mumbai Indians,runs,1.0,,Nigel Llong,Sundaram Ravi,1,0,0,1,
1136561,Mumbai,2018-04-07,Dwayne Bravo,Wankhede Stadium,0,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,1.0,,Chris Gaffaney,Nand Kishore,0,0,0,0,Mumbai Indians
1136562,Chandigarh,2018-04-08,KL Rahul,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,,K. N. Ananthapadmanabhan,Rod Tucker,0,0,0,0,Kings XI Punjab
1136563,Kolkata,2018-04-08,Sunil Narine,Eden Gardens,0,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,4.0,,Chettithody Shamshuddin,Abhijit Deshmukh,0,0,0,0,Kolkata Knight Riders
1136564,Hyderabad,2018-04-09,Shikhar Dhawan,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,9.0,,Vineet Kulkarni,Nigel Llong,0,0,0,0,Sunrisers Hyderabad
1136565,Chennai,2018-04-10,Sam Billings,MA Chidambaram Stadium,0,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,,Chris Gaffaney,Anil Chaudhary,0,0,0,0,Chennai Super Kings
1136566,Jaipur,2018-04-11,Sanju Samson,Sawai Mansingh Stadium,0,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,runs,10.0,D/L,K. N. Ananthapadmanabhan,Nitin Menon,0,0,0,0,Rajasthan Royals
1136567,Hyderabad,2018-04-12,Rashid Khan,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,1.0,,Nigel Llong,C. K. Nandan,0,0,0,0,Sunrisers Hyderabad
1136568,Bangalore,2018-04-13,Umesh Yadav,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,4.0,,Abhijit Deshmukh,Sundaram Ravi,0,0,0,0,Royal Challengers Bangalore
1136569,Mumbai,2018-04-14,Jason Roy,Wankhede Stadium,0,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7.0,,K. N. Ananthapadmanabhan,Nitin Menon,0,0,0,0,Mumbai Indians
1136570,Kolkata,2018-04-14,Billy Stanlake,Eden Gardens,0,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,5.0,,Anil Chaudhary,Nand Kishore,0,0,0,0,Kolkata Knight Riders
1136571,Bangalore,2018-04-15,Sanju Samson,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals,runs,19.0,,Chettithody Shamshuddin,Sundaram Ravi,0,0,0,0,Royal Challengers Bangalore
1136572,Chandigarh,2018-04-15,Chris Gayle,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab,runs,4.0,,Vineet Kulkarni,C. K. Nandan,0,0,0,0,Kings XI Punjab
1136573,Kolkata,2018-04-16,Nitish Rana,Eden Gardens,0,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Kolkata Knight Riders,runs,71.0,,Anil Chaudhary,Nand Kishore,0,0,0,0,Kolkata Knight Riders
1136574,Mumbai,2018-04-17,Rohit Sharma,Wankhede Stadium,0,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,runs,46.0,,Rod Tucker,Nitin Menon,0,0,0,0,Mumbai Indians
1136575,Jaipur,2018-04-18,Nitish Rana,Sawai Mansingh Stadium,0,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7.0,,Abhijit Deshmukh,Sundaram Ravi,0,0,0,0,Rajasthan Royals
1136576,Chandigarh,2018-04-19,Chris Gayle,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Kings XI Punjab,runs,15.0,,Nigel Llong,Anil Chaudhary,0,0,0,0,Kings XI Punjab
1136577,Pune,2018-04-20,Shane Watson,Maharashtra Cricket Association Stadium,0,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,runs,64.0,,K. N. Ananthapadmanabhan,Nitin Menon,0,0,0,0,Chennai Super Kings
1136578,Kolkata,2018-04-21,KL Rahul,Eden Gardens,0,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,wickets,9.0,D/L,Chettithody Shamshuddin,Abhijit Deshmukh,0,0,0,0,Kolkata Knight Riders
1136579,Bangalore,2018-04-21,AB de Villiers,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,6.0,,Chris Gaffaney,C. K. Nandan,0,0,0,0,Royal Challengers Bangalore
1136580,Hyderabad,2018-04-22,Ambati Rayudu,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,runs,4.0,,Vineet Kulkarni,Anil Chaudhary,0,0,0,0,Sunrisers Hyderabad
1136581,Jaipur,2018-04-22,Jofra Archer,Sawai Mansingh Stadium,0,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Rajasthan Royals,wickets,3.0,,K. N. Ananthapadmanabhan,Rod Tucker,0,0,0,0,Rajasthan Royals
1136582,Delhi,2018-04-23,Ankit Rajpoot,Arun Jaitley Stadium,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,field,Kings XI Punjab,runs,4.0,,Nand Kishore,C. K. Nandan,0,0,0,0,Delhi Capitals
1136583,Mumbai,2018-04-24,Rashid Khan,Wankhede Stadium,0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,Sunrisers Hyderabad,runs,31.0,,Chettithody Shamshuddin,Sundaram Ravi,0,0,0,0,Mumbai Indians
1136584,Bangalore,2018-04-25,Mahendra Singh Dhoni,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5.0,,Nigel Llong,Virender Sharma,0,0,0,0,Royal Challengers Bangalore
1136585,Hyderabad,2018-04-26,Ankit Rajpoot,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,runs,13.0,,Yeshwant Barde,C. K. Nandan,0,0,0,0,Sunrisers Hyderabad
1136586,Delhi,2018-04-27,Shreyas Iyer,Arun Jaitley Stadium,0,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,runs,55.0,,Chettithody Shamshuddin,Sundaram Ravi,0,0,0,0,Delhi Capitals
1136587,Pune,2018-04-28,Rohit Sharma,Maharashtra Cricket Association Stadium,0,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8.0,,Chris Gaffaney,Nitin Menon,0,0,0,0,Chennai Super Kings
1136588,Jaipur,2018-04-29,Kane Williamson,Sawai Mansingh Stadium,0,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,11.0,,Bruce Oxenford,Nand Kishore,0,0,0,0,Rajasthan Royals
1136589,Bangalore,2018-04-29,Chris Lynn,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,,Nigel Llong,Anil Chaudhary,0,0,0,0,Royal Challengers Bangalore
1136590,Pune,2018-04-30,Shane Watson,Maharashtra Cricket Association Stadium,0,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,runs,13.0,,Anil Dandekar,Chettithody Shamshuddin,0,0,0,0,Chennai Super Kings
1136591,Bangalore,2018-05-01,Tim Southee,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,runs,14.0,,Marais Erasmus,Nitin Menon,0,0,0,0,Royal Challengers Bangalore
1136592,Delhi,2018-05-02,Rishabh Pant,Arun Jaitley Stadium,0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,runs,4.0,D/L,Virender Sharma,C. K. Nandan,0,0,0,0,Delhi Capitals
1136593,Kolkata,2018-05-03,Sunil Narine,Eden Gardens,0,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,,Kumar Dharmasena,Abhijit Deshmukh,0,0,0,0,Kolkata Knight Riders
1136594,Indore,2018-05-04,Suryakumar Yadav,Holkar Cricket Stadium,0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,6.0,,Anil Dandekar,Sundaram Ravi,0,0,0,0,Kings XI Punjab
1136595,Pune,2018-05-05,Ravindra Jadeja,Maharashtra Cricket Association Stadium,0,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,,Nitin Menon,Yeshwant Barde,0,0,0,0,Chennai Super Kings
1136596,Hyderabad,2018-05-05,Rashid Khan,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,Sunrisers Hyderabad,wickets,7.0,,Bruce Oxenford,C. K. Nandan,0,0,0,0,Sunrisers Hyderabad
1136597,Mumbai,2018-05-06,Hardik Pandya,Wankhede Stadium,0,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,13.0,,Kumar Dharmasena,Abhijit Deshmukh,0,0,0,0,Mumbai Indians
1136598,Indore,2018-05-06,Mujeeb Ur Rahman,Holkar Cricket Stadium,0,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Kings XI Punjab,wickets,6.0,,Chettithody Shamshuddin,Sundaram Ravi,0,0,0,0,Kings XI Punjab
1136599,Hyderabad,2018-05-07,Kane Williamson,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,runs,5.0,,Bruce Oxenford,Virender Sharma,0,0,0,0,Sunrisers Hyderabad
1136600,Jaipur,2018-05-08,Jos Buttler,Sawai Mansingh Stadium,0,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,Rajasthan Royals,runs,15.0,,Marais Erasmus,Nitin Menon,0,0,0,0,Rajasthan Royals
1136601,Kolkata,2018-05-09,Ishan Kishan,Eden Gardens,0,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,runs,102.0,,K. N. Ananthapadmanabhan,Anil Chaudhary,0,0,0,0,Kolkata Knight Riders
1136602,Delhi,2018-05-10,Shikhar Dhawan,Arun Jaitley Stadium,0,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Sunrisers Hyderabad,wickets,9.0,,Anil Dandekar,Chettithody Shamshuddin,0,0,0,0,Delhi Capitals
1136603,Jaipur,2018-05-11,Jos Buttler,Sawai Mansingh Stadium,0,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,wickets,4.0,,Marais Erasmus,Yeshwant Barde,0,0,0,0,Rajasthan Royals
1136604,Indore,2018-05-12,Sunil Narine,Holkar Cricket Stadium,0,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,field,Kolkata Knight Riders,runs,31.0,,Virender Sharma,C. K. Nandan,0,0,0,0,Kings XI Punjab
1136605,Delhi,2018-05-12,AB de Villiers,Arun Jaitley Stadium,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,5.0,,K. N. Ananthapadmanabhan,Kumar Dharmasena,0,0,0,0,Delhi Capitals
1136606,Pune,2018-05-13,Ambati Rayudu,Maharashtra Cricket Association Stadium,0,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,wickets,8.0,,Marais Erasmus,Yeshwant Barde,0,0,0,0,Chennai Super Kings
1136607,Mumbai,2018-05-13,Jos Buttler,Wankhede Stadium,0,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7.0,,Nitin Menon,Sundaram Ravi,0,0,0,0,Mumbai Indians
1136608,Indore,2018-05-14,Umesh Yadav,Holkar Cricket Stadium,0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,10.0,,Bruce Oxenford,Virender Sharma,0,0,0,0,Kings XI Punjab
